FastApi

---------- coverage: platform linux, python 3.8.10-final-0 -----------
Name                                                                                      Stmts   Miss  Cover
-------------------------------------------------------------------------------------------------------------
docs_src/additional_responses/tutorial001.py                                                 14      0   100%
docs_src/additional_responses/tutorial002.py                                                 13      0   100%
docs_src/additional_responses/tutorial003.py                                                 14      0   100%
docs_src/additional_responses/tutorial004.py                                                 14      0   100%
docs_src/additional_status_codes/tutorial001.py                                              15      0   100%
docs_src/additional_status_codes/tutorial001_an.py                                           16      0   100%
docs_src/advanced_middleware/tutorial001.py                                                   7      0   100%
docs_src/advanced_middleware/tutorial002.py                                                   7      0   100%
docs_src/advanced_middleware/tutorial003.py                                                   7      0   100%
docs_src/app_testing/__init__.py                                                              0      0   100%
docs_src/app_testing/app_b/__init__.py                                                        0      0   100%
docs_src/app_testing/app_b/main.py                                                           25      0   100%
docs_src/app_testing/app_b/test_main.py                                                      27      0   100%
docs_src/app_testing/app_b_an/__init__.py                                                     0      0   100%
docs_src/app_testing/app_b_an/main.py                                                        26      0   100%
docs_src/app_testing/app_b_an/test_main.py                                                   27      0   100%
docs_src/app_testing/app_b_an_py39/__init__.py                                                0      0   100%
docs_src/app_testing/app_b_an_py39/main.py                                                   25     25     0%
docs_src/app_testing/app_b_an_py39/test_main.py                                              27     27     0%
docs_src/app_testing/app_b_an_py310/__init__.py                                               0      0   100%
docs_src/app_testing/app_b_an_py310/main.py                                                  25     25     0%
docs_src/app_testing/app_b_an_py310/test_main.py                                             27     27     0%
docs_src/app_testing/app_b_py310/__init__.py                                                  0      0   100%
docs_src/app_testing/app_b_py310/main.py                                                     24     24     0%
docs_src/app_testing/app_b_py310/test_main.py                                                27     27     0%
docs_src/app_testing/main.py                                                                  5      0   100%
docs_src/app_testing/test_main.py                                                             7      0   100%
docs_src/app_testing/tutorial001.py                                                          11      0   100%
docs_src/app_testing/tutorial002.py                                                          22      0   100%
docs_src/app_testing/tutorial003.py                                                          16      0   100%
docs_src/async_sql_databases/tutorial001.py                                                  34      5    85%
docs_src/async_tests/__init__.py                                                              0      0   100%
docs_src/async_tests/main.py                                                                  5      0   100%
docs_src/async_tests/test_main.py                                                             9      0   100%
docs_src/background_tasks/tutorial001.py                                                     10      0   100%
docs_src/background_tasks/tutorial002.py                                                     16      0   100%
docs_src/background_tasks/tutorial002_an.py                                                  17      0   100%
docs_src/behind_a_proxy/tutorial001.py                                                        5      0   100%
docs_src/behind_a_proxy/tutorial002.py                                                        5      0   100%
docs_src/behind_a_proxy/tutorial003.py                                                        5      0   100%
docs_src/behind_a_proxy/tutorial004.py                                                        5      0   100%
docs_src/bigger_applications/__init__.py                                                      0      0   100%
docs_src/bigger_applications/app/__init__.py                                                  0      0   100%
docs_src/bigger_applications/app/dependencies.py                                              7      0   100%
docs_src/bigger_applications/app/internal/__init__.py                                         0      0   100%
docs_src/bigger_applications/app/internal/admin.py                                            5      0   100%
docs_src/bigger_applications/app/main.py                                                     11      0   100%
docs_src/bigger_applications/app/routers/__init__.py                                          0      0   100%
docs_src/bigger_applications/app/routers/items.py                                            17      0   100%
docs_src/bigger_applications/app/routers/users.py                                            11      0   100%
docs_src/bigger_applications/app_an/__init__.py                                               0      0   100%
docs_src/bigger_applications/app_an/dependencies.py                                           8      0   100%
docs_src/bigger_applications/app_an/internal/__init__.py                                      0      0   100%
docs_src/bigger_applications/app_an/internal/admin.py                                         5      0   100%
docs_src/bigger_applications/app_an/main.py                                                  11      0   100%
docs_src/bigger_applications/app_an/routers/__init__.py                                       0      0   100%
docs_src/bigger_applications/app_an/routers/items.py                                         17      0   100%
docs_src/bigger_applications/app_an/routers/users.py                                         11      0   100%
docs_src/bigger_applications/app_an_py39/__init__.py                                          0      0   100%
docs_src/bigger_applications/app_an_py39/dependencies.py                                      8      8     0%
docs_src/bigger_applications/app_an_py39/internal/__init__.py                                 0      0   100%
docs_src/bigger_applications/app_an_py39/internal/admin.py                                    5      5     0%
docs_src/bigger_applications/app_an_py39/main.py                                             11     11     0%
docs_src/bigger_applications/app_an_py39/routers/__init__.py                                  0      0   100%
docs_src/bigger_applications/app_an_py39/routers/items.py                                    17     17     0%
docs_src/bigger_applications/app_an_py39/routers/users.py                                    11     11     0%
docs_src/body/tutorial001.py                                                                 12      0   100%
